algorithm,seed,trace,step,time_seconds,arrival_rate,active_instances,pending_startup,queue_length,action,reward,instance_seconds,utilization,sla_violation_fraction,forecast_used,forecast_error,timely_completions,late_completions,rejections,timeouts
SARSA,44,recurring,9,600.0,160.85,3,0,0,1,1.4,180.0,0.5313996965342388,0.0,141.9793599233833,-18.870640076616695,9649,0,0,0
SARSA,44,recurring,10,660.0,411.53333333333336,3,0,3997,1,-5.192815615688169,180.0,0.9999534080578314,0.9877748248369171,147.6405519463683,-263.89278138696505,253,17846,0,2596
SARSA,44,recurring,11,720.0,384.31666666666666,3,1,3789,2,-5.6315,240.0,1.0,1.0,226.8083863624578,-157.50828030420885,0,18090,0,5177
SARSA,44,recurring,12,780.0,135.95,4,0,0,1,-1.6623807132094426,240.0,0.49536693583724134,0.47706345220157376,274.06087045372044,138.11087045372045,6247,5688,0,11
SARSA,44,recurring,13,840.0,110.28333333333333,4,1,0,2,0.8,300.0,0.2737174020527192,0.0,232.62760931760428,122.34427598427095,6618,0,0,0
SARSA,44,recurring,14,900.0,108.96666666666667,5,0,0,1,1.0,300.0,0.21388911722153542,0.0,195.92432652232299,86.95765985565632,6539,0,0,0
SARSA,44,recurring,15,960.0,111.65,4,0,0,0,1.0,240.0,0.2827937399798614,0.0,169.83702856562607,58.187028565626065,6700,0,0,0
SARSA,44,recurring,16,1020.0,110.21666666666667,4,1,0,2,0.8,300.0,0.2737903088121987,0.0,152.38091999593823,42.16425332927156,6612,0,0,0
SARSA,44,recurring,17,1080.0,241.13333333333333,5,0,1,1,0.9998333333333334,300.0,0.482121849116996,0.0,139.73164399715677,-101.40168933617656,14463,0,0,0
SARSA,44,recurring,18,1140.0,452.2,5,0,4,1,0.9993333333333333,300.0,0.9055361249602871,0.0,170.1521507980097,-282.0478492019903,27129,0,0,0
SARSA,44,recurring,19,1200.0,297.5833333333333,5,0,0,1,1.0,300.0,0.59357225510667,0.0,254.76650555860678,-42.816827774726534,17863,0,0,0
SARSA,44,recurring,20,1260.0,110.73333333333333,4,0,0,0,1.0,240.0,0.27866007614096683,0.0,267.61155389102476,156.8782205576914,6645,0,0,0
SARSA,44,recurring,21,1320.0,111.13333333333334,4,1,0,2,0.8,300.0,0.2798034571711118,0.0,220.54808772371732,109.41475439038398,6667,0,0,0
SARSA,44,recurring,22,1380.0,109.6,5,0,0,1,1.0,300.0,0.22058870652510298,0.0,187.7236614066021,78.12366140660211,6576,0,0,0
SARSA,44,recurring,23,1440.0,112.03333333333333,4,0,0,0,1.0,240.0,0.2849534319387156,0.0,164.28656298462147,52.25322965128814,6719,0,0,0
SARSA,44,burst,0,60.0,116.2,2,0,0,1,1.6,120.0,0.5751711176260378,0.0,113.75,-2.450000000000003,6972,0,0,0
SARSA,44,burst,1,120.0,115.55,2,0,2,1,1.5996666666666668,120.0,0.583989296128353,0.0,114.485,-1.0649999999999977,6930,0,0,0
SARSA,44,burst,2,180.0,114.48333333333333,2,1,0,2,1.2,180.0,0.5766237536640928,0.0,114.80449999999999,0.32116666666665594,6872,0,0,0
SARSA,44,burst,3,240.0,116.3,3,0,0,1,1.4,180.0,0.3872787329045642,0.0,114.70814999999999,-1.591850000000008,6978,0,0,0
SARSA,44,burst,4,300.0,115.53333333333333,3,0,0,1,1.4,180.0,0.3832450363815574,0.0,115.18570499999998,-0.347628333333347,6930,0,0,0
SARSA,44,burst,5,360.0,115.36666666666666,3,0,0,1,1.4,180.0,0.38403906153184675,0.0,115.28999349999998,-0.07667316666668,6925,0,0,0
SARSA,44,burst,6,420.0,682.1333333333333,3,0,5961,1,-5.579428383480151,180.0,0.9999811844881425,0.9976547305800252,115.31299544999997,-566.8203378833333,82,17676,4255,12951
SARSA,44,burst,7,480.0,678.7333333333333,3,1,5995,2,-5.9991666666666665,240.0,1.0,1.0,285.35909681499993,-393.3742365183334,0,17902,4761,18027
SARSA,44,burst,8,540.0,679.8166666666667,4,0,5995,1,-5.799166666666666,240.0,1.0,1.0,403.37136777049994,-276.4452988961668,0,24179,4806,11803
SARSA,44,burst,9,600.0,680.1666666666666,4,0,6000,1,-5.8,240.0,1.0,1.0,486.30495743935,-193.86170922731662,0,24066,4799,11940
SARSA,44,burst,10,660.0,113.66666666666667,4,0,0,1,-2.343476565546284,240.0,0.45244961967694575,0.5905794275910473,544.463470207545,430.79680354087833,5250,5603,0,1970
SARSA,44,burst,11,720.0,116.38333333333334,4,1,0,2,0.8,300.0,0.29393322049668974,0.0,415.22442914528153,298.8410958119482,6983,0,0,0
SARSA,44,burst,12,780.0,114.53333333333333,5,0,0,1,1.0,300.0,0.22730392310982817,0.0,325.57210040169707,211.03876706836374,6873,0,0,0
SARSA,44,burst,13,840.0,113.16666666666667,4,0,0,0,1.0,240.0,0.2788974786009921,0.0,262.2604702811879,149.09380361452122,6789,0,0,0
SARSA,44,burst,14,900.0,113.63333333333334,4,1,0,2,0.8,300.0,0.2841108182509904,0.0,217.53232919683154,103.8989958634982,6819,0,0,0
SARSA,44,burst,15,960.0,364.2,5,0,0,1,1.0,300.0,0.7329046288078125,0.0,186.36263043778206,-177.83736956221793,21847,0,0,0
SARSA,44,burst,16,1020.0,370.65,5,0,1,1,0.9998333333333334,300.0,0.74141274296843,0.0,239.71384130644742,-130.93615869355256,22238,0,0,0
SARSA,44,burst,17,1080.0,371.71666666666664,5,0,0,1,1.0,300.0,0.7454814041925097,0.0,278.9946889145132,-92.72197775215346,22306,0,0,0
SARSA,44,burst,18,1140.0,365.98333333333335,5,0,0,1,1.0,300.0,0.73070907101074,0.0,306.8112822401592,-59.17205109317416,21961,0,0,0
SARSA,44,burst,19,1200.0,117.63333333333334,5,0,0,1,1.0,300.0,0.23194812789085745,0.0,324.5628975681114,206.92956423477807,7058,0,0,0
SARSA,44,burst,20,1260.0,116.8,5,0,0,1,1.0,300.0,0.23504137878297493,0.0,262.484028297678,145.68402829767797,7008,0,0,0
SARSA,44,burst,21,1320.0,113.08333333333333,4,0,0,0,1.0,240.0,0.28323173381103856,0.0,218.77881980837458,105.69548647504125,6785,0,0,0
SARSA,44,burst,22,1380.0,115.23333333333333,4,1,0,2,0.8,300.0,0.2914697224277982,0.0,187.07017386586222,71.83684053252888,6914,0,0,0
SARSA,44,burst,23,1440.0,116.08333333333333,5,0,0,1,1.0,300.0,0.23116522931384756,0.0,165.51912170610353,49.435788372770205,6965,0,0,0
