algorithm,seed,trace,step,time_seconds,arrival_rate,active_instances,pending_startup,queue_length,action,reward,instance_seconds,utilization,sla_violation_fraction,forecast_used,forecast_error,timely_completions,late_completions,rejections,timeouts
Dyna-Q,33,ramp,0,60.0,90.68333333333334,2,0,0,1,1.6,120.0,0.45765347543880547,0.0,89.5,-1.1833333333333371,5444,0,0,0
Dyna-Q,33,ramp,1,120.0,90.3,2,1,0,2,1.2,180.0,0.4552266777029799,0.0,89.855,-0.4449999999999932,5417,0,0,0
Dyna-Q,33,ramp,2,180.0,90.06666666666666,3,0,0,1,1.4,180.0,0.3096975957352214,0.0,89.9885,-0.07816666666666094,5406,0,0,0
Dyna-Q,33,ramp,3,240.0,90.76666666666667,3,0,0,1,1.4,180.0,0.2972562218867217,0.0,90.01195,-0.7547166666666669,5446,0,0,0
Dyna-Q,33,ramp,4,300.0,113.15,3,0,0,1,1.4,180.0,0.378006649261355,0.0,90.238365,-22.911635000000004,6788,0,0,0
Dyna-Q,33,ramp,5,360.0,158.76666666666668,2,0,2,0,1.3996666666666668,120.0,0.7837844005468,0.0,97.11185549999999,-61.65481116666669,9523,0,0,0
Dyna-Q,33,ramp,6,420.0,198.36666666666667,2,0,162,1,-3.7039545222279004,120.0,0.9979048989301476,0.8794924203713167,115.60829884999998,-82.75836781666669,1415,10327,0,0
Dyna-Q,33,ramp,7,480.0,243.43333333333334,2,0,2355,1,-4.7925,120.0,1.0,1.0,140.435809195,-102.99752413833335,0,12048,0,365
Dyna-Q,33,ramp,8,540.0,285.96666666666664,2,0,2908,1,-4.884666666666667,120.0,1.0,1.0,171.33506643649997,-114.63160023016667,0,11876,0,4729
Dyna-Q,33,ramp,9,600.0,332.4166666666667,2,0,3346,1,-4.957666666666667,120.0,1.0,1.0,205.72454650554997,-126.69212016111672,0,12039,0,7468
Dyna-Q,33,ramp,10,660.0,372.6333333333333,2,1,3830,2,-5.4383333333333335,180.0,1.0,1.0,243.73218255388497,-128.90115077944836,0,11953,0,9921
Dyna-Q,33,ramp,11,720.0,424.21666666666664,3,0,4321,1,-5.320166666666666,180.0,1.0,1.0,282.40252778771946,-141.81413887894718,0,18150,0,6811
Dyna-Q,33,ramp,12,780.0,437.8,3,1,4307,2,-5.717833333333333,240.0,1.0,1.0,324.9467694514036,-112.8532305485964,0,18058,0,8224
Dyna-Q,33,ramp,13,840.0,435.1333333333333,4,0,4325,1,-5.520833333333333,240.0,1.0,1.0,358.80273861598255,-76.33059471735078,0,23837,0,2252
Dyna-Q,33,ramp,14,900.0,435.6666666666667,4,1,4283,2,-5.913833333333334,300.0,1.0,1.0,381.70191703118775,-53.96474963547894,0,23932,0,2250
Dyna-Q,33,ramp,15,960.0,433.2,5,0,0,1,-4.623451692815855,300.0,0.99486254216857,0.9372419488026424,397.8913419218314,-35.308658078168605,1900,28374,0,1
Dyna-Q,33,ramp,16,1020.0,395.46666666666664,5,0,0,1,1.0,300.0,0.7922413480552617,0.0,408.48393934528195,13.017272678615313,23728,0,0,0
Dyna-Q,33,ramp,17,1080.0,358.26666666666665,5,0,0,1,1.0,300.0,0.719786784098413,0.0,404.5787575416973,46.31209087503066,21497,0,0,0
Dyna-Q,33,ramp,18,1140.0,313.35,5,0,0,1,1.0,300.0,0.6291032020576707,0.0,390.6851302791881,77.33513027918809,18804,0,0,0
Dyna-Q,33,ramp,19,1200.0,272.35,5,0,0,1,1.0,300.0,0.5526032225994648,0.0,367.4845911954317,95.13459119543165,16339,0,0,0
Dyna-Q,33,ramp,20,1260.0,230.51666666666668,5,0,0,1,1.0,300.0,0.46404323447858287,0.0,338.94421383680213,108.42754717013545,13831,0,0,0
Dyna-Q,33,ramp,21,1320.0,193.7,5,0,0,1,1.0,300.0,0.3842333143796138,0.0,306.41594968576146,112.71594968576147,11624,0,0,0
Dyna-Q,33,ramp,22,1380.0,151.48333333333332,5,0,0,1,1.0,300.0,0.2992457396267605,0.0,272.601164780033,121.11783144669968,9087,0,0,0
Dyna-Q,33,ramp,23,1440.0,110.65,5,0,0,1,1.0,300.0,0.22723966389332947,0.0,236.2658153460231,125.61581534602308,6640,0,0,0
Dyna-Q,33,recurring,0,60.0,108.66666666666667,2,1,0,2,1.2,180.0,0.5520716435953216,0.0,107.48333333333333,-1.1833333333333371,6521,0,0,0
Dyna-Q,33,recurring,1,120.0,112.33333333333333,3,0,0,1,1.4,180.0,0.3748904180607201,0.0,107.83833333333334,-4.49499999999999,6738,0,0,0
Dyna-Q,33,recurring,2,180.0,338.85,3,0,2192,1,-4.932584408424303,180.0,0.9999647228676006,0.9945418458484949,109.18683333333334,-229.66316666666668,99,18039,0,0
Dyna-Q,33,recurring,3,240.0,444.43333333333334,3,1,4403,2,-5.733833333333333,240.0,1.0,1.0,178.08578333333332,-266.34755,0,18104,0,6351
Dyna-Q,33,recurring,4,300.0,204.58333333333334,4,0,0,1,-1.874285029078482,240.0,0.6845198262673304,0.512380838179747,257.99004833333333,53.40671499999999,8133,8178,0,368
Dyna-Q,33,recurring,5,360.0,111.65,4,1,0,2,0.8,300.0,0.2774361840329403,0.0,241.96803383333332,130.31803383333332,6700,0,0,0
Dyna-Q,33,recurring,6,420.0,111.48333333333333,5,0,0,1,1.0,300.0,0.22174544558989776,0.0,202.87262368333333,91.38929035,6689,0,0,0
Dyna-Q,33,recurring,7,480.0,109.6,4,0,0,0,1.0,240.0,0.2774610996856178,0.0,175.4558365783333,65.85583657833331,6574,0,0,0
Dyna-Q,33,recurring,8,540.0,109.96666666666667,4,1,0,2,0.8,300.0,0.2759589367943169,0.0,155.6990856048333,45.73241893816663,6600,0,0,0
Dyna-Q,33,recurring,9,600.0,160.85,5,0,0,1,1.0,300.0,0.318919177803322,0.0,141.9793599233833,-18.870640076616695,9650,0,0,0
Dyna-Q,33,recurring,10,660.0,411.53333333333336,5,0,0,1,1.0,300.0,0.8201385822024141,0.0,147.6405519463683,-263.89278138696505,24691,0,0,0
Dyna-Q,33,recurring,11,720.0,384.31666666666666,5,0,6,1,0.999,300.0,0.7693820092958326,0.0,226.8083863624578,-157.50828030420885,23051,0,0,0
Dyna-Q,33,recurring,12,780.0,135.95,5,0,0,1,1.0,300.0,0.27038092700975996,0.0,274.06087045372044,138.11087045372045,8165,0,0,0
Dyna-Q,33,recurring,13,840.0,110.28333333333333,4,0,0,0,1.0,240.0,0.2737174020527192,0.0,232.62760931760428,122.34427598427095,6618,0,0,0
Dyna-Q,33,recurring,14,900.0,108.96666666666667,4,0,0,1,1.2,240.0,0.26736139652691926,0.0,195.92432652232299,86.95765985565632,6539,0,0,0
Dyna-Q,33,recurring,15,960.0,111.65,4,1,0,2,0.8,300.0,0.2827937399798614,0.0,169.83702856562607,58.187028565626065,6700,0,0,0
Dyna-Q,33,recurring,16,1020.0,110.21666666666667,5,0,0,1,1.0,300.0,0.21903224704975893,0.0,152.38091999593823,42.16425332927156,6612,0,0,0
Dyna-Q,33,recurring,17,1080.0,241.13333333333333,4,0,4,0,0.9993333333333334,240.0,0.6024886584863177,0.0,139.73164399715677,-101.40168933617656,14461,0,0,0
Dyna-Q,33,recurring,18,1140.0,452.2,4,1,3184,2,-5.578612558450234,300.0,1.0,0.9746576486305946,170.1521507980097,-282.0478492019903,607,23345,0,0
Dyna-Q,33,recurring,19,1200.0,297.5833333333333,5,0,0,1,-1.1482748788138009,300.0,0.699239302394899,0.3580458131356335,254.76650555860678,-42.816827774726534,13508,7534,0,0
Dyna-Q,33,recurring,20,1260.0,110.73333333333333,5,0,0,1,1.0,300.0,0.22292806091277348,0.0,267.61155389102476,156.8782205576914,6645,0,0,0
Dyna-Q,33,recurring,21,1320.0,111.13333333333334,4,0,0,0,1.0,240.0,0.2798034571711118,0.0,220.54808772371732,109.41475439038398,6667,0,0,0
Dyna-Q,33,recurring,22,1380.0,109.6,4,1,0,2,0.8,300.0,0.2757358831563787,0.0,187.7236614066021,78.12366140660211,6576,0,0,0
Dyna-Q,33,recurring,23,1440.0,112.03333333333333,5,0,0,1,1.0,300.0,0.2279739240241535,0.0,164.28656298462147,52.25322965128814,6719,0,0,0
Dyna-Q,33,burst,0,60.0,116.2,2,1,0,2,1.2,180.0,0.5751711176260378,0.0,113.75,-2.450000000000003,6972,0,0,0
Dyna-Q,33,burst,1,120.0,115.55,3,0,0,1,1.4,180.0,0.3894668275167288,0.0,114.485,-1.0649999999999977,6934,0,0,0
Dyna-Q,33,burst,2,180.0,114.48333333333333,3,0,0,1,1.4,180.0,0.38427520567823514,0.0,114.80449999999999,0.32116666666665594,6868,0,0,0
Dyna-Q,33,burst,3,240.0,116.3,3,0,0,1,1.4,180.0,0.3872787329045642,0.0,114.70814999999999,-1.591850000000008,6978,0,0,0
Dyna-Q,33,burst,4,300.0,115.53333333333333,3,0,0,1,1.4,180.0,0.3832450363815574,0.0,115.18570499999998,-0.347628333333347,6930,0,0,0
Dyna-Q,33,burst,5,360.0,115.36666666666666,3,0,0,1,1.4,180.0,0.38403906153184675,0.0,115.28999349999998,-0.07667316666668,6925,0,0,0
Dyna-Q,33,burst,6,420.0,682.1333333333333,3,0,5961,1,-5.579428383480151,180.0,0.9999811844881425,0.9976547305800252,115.31299544999997,-566.8203378833333,82,17676,4255,12951
Dyna-Q,33,burst,7,480.0,678.7333333333333,3,1,5995,2,-5.9991666666666665,240.0,1.0,1.0,285.35909681499993,-393.3742365183334,0,17902,4761,18027
Dyna-Q,33,burst,8,540.0,679.8166666666667,4,0,5995,1,-5.799166666666666,240.0,1.0,1.0,403.37136777049994,-276.4452988961668,0,24179,4806,11803
