algorithm,seed,trace,step,time_seconds,arrival_rate,active_instances,pending_startup,queue_length,action,reward,instance_seconds,utilization,sla_violation_fraction,forecast_used,forecast_error,timely_completions,late_completions,rejections,timeouts
Expected SARSA,33,ramp,0,60.0,90.68333333333334,2,0,0,1,1.6,120.0,0.45765347543880547,0.0,89.5,-1.1833333333333371,5444,0,0,0
Expected SARSA,33,ramp,1,120.0,90.3,2,1,0,2,1.2,180.0,0.4552266777029799,0.0,89.855,-0.4449999999999932,5417,0,0,0
Expected SARSA,33,ramp,2,180.0,90.06666666666666,3,0,0,1,1.4,180.0,0.3096975957352214,0.0,89.9885,-0.07816666666666094,5406,0,0,0
Expected SARSA,33,ramp,3,240.0,90.76666666666667,2,0,0,0,1.4000000000000001,120.0,0.4458843328300825,0.0,90.01195,-0.7547166666666669,5446,0,0,0
Expected SARSA,33,ramp,4,300.0,113.15,2,1,0,2,1.2,180.0,0.5670099738920326,0.0,90.238365,-22.911635000000004,6788,0,0,0
Expected SARSA,33,ramp,5,360.0,158.76666666666668,3,0,0,1,1.4,180.0,0.5225732149765084,0.0,97.11185549999999,-61.65481116666669,9525,0,0,0
Expected SARSA,33,ramp,6,420.0,198.36666666666667,3,0,0,1,1.4,180.0,0.674451843749584,0.0,115.60829884999998,-82.75836781666669,11902,0,0,0
Expected SARSA,33,ramp,7,480.0,243.43333333333334,3,0,7,1,1.3988333333333332,180.0,0.8121140200872683,0.0,140.435809195,-102.99752413833335,14598,0,0,0
Expected SARSA,33,ramp,8,540.0,285.96666666666664,3,1,9,2,0.9834615294940545,240.0,0.954580576777105,0.002506411750990907,171.33506643649997,-114.63160023016667,17113,43,0,0
Expected SARSA,33,ramp,9,600.0,332.4166666666667,4,0,0,1,1.2,240.0,0.8306098910959331,0.0,205.72454650554997,-126.69212016111672,19955,0,0,0
Expected SARSA,33,ramp,10,660.0,372.6333333333333,3,0,3828,0,-5.2935777429974635,180.0,0.9999672077113858,0.9759296238329106,243.73218255388497,-128.90115077944836,446,17589,0,494
Expected SARSA,33,ramp,11,720.0,424.21666666666664,3,0,4321,1,-5.320166666666666,180.0,1.0,1.0,282.40252778771946,-141.81413887894718,0,18151,0,6809
Expected SARSA,33,ramp,12,780.0,437.8,3,0,4307,1,-5.317833333333333,180.0,1.0,1.0,324.9467694514036,-112.8532305485964,0,18058,0,8224
Expected SARSA,33,ramp,13,840.0,435.1333333333333,3,0,4341,1,-5.323499999999999,180.0,1.0,1.0,358.80273861598255,-76.33059471735078,0,17863,0,8211
Expected SARSA,33,ramp,14,900.0,435.6666666666667,3,0,4291,1,-5.315166666666666,180.0,1.0,1.0,381.70191703118775,-53.96474963547894,0,17889,0,8301
Expected SARSA,33,ramp,15,960.0,433.2,3,0,4354,1,-5.325666666666667,180.0,1.0,1.0,397.8913419218314,-35.308658078168605,0,18374,0,7555
Expected SARSA,33,ramp,16,1020.0,395.46666666666664,3,0,4024,1,-5.270666666666666,180.0,1.0,1.0,408.48393934528195,13.017272678615313,0,17864,0,6194
Expected SARSA,33,ramp,17,1080.0,358.26666666666665,3,0,3541,1,-5.190166666666666,180.0,1.0,1.0,404.5787575416973,46.31209087503066,0,17996,0,3983
Expected SARSA,33,ramp,18,1140.0,313.35,3,0,3163,1,-5.127166666666667,180.0,1.0,1.0,390.6851302791881,77.33513027918809,0,17839,0,1340
Expected SARSA,33,ramp,19,1200.0,272.35,3,1,1513,2,-5.252166666666667,240.0,1.0,1.0,367.4845911954317,95.13459119543165,0,17853,0,138
Expected SARSA,33,ramp,20,1260.0,230.51666666666668,4,0,0,1,-0.29638318670576747,240.0,0.6444446508958066,0.24939719778429456,338.94421383680213,108.42754717013545,11518,3827,0,0
Expected SARSA,33,ramp,21,1320.0,193.7,4,1,0,2,0.8,300.0,0.4802916429745172,0.0,306.41594968576146,112.71594968576147,11624,0,0,0
Expected SARSA,33,ramp,22,1380.0,151.48333333333332,5,0,0,1,1.0,300.0,0.2992457396267605,0.0,272.601164780033,121.11783144669968,9087,0,0,0
Expected SARSA,33,ramp,23,1440.0,110.65,5,0,0,1,1.0,300.0,0.22723966389332947,0.0,236.2658153460231,125.61581534602308,6640,0,0,0
Expected SARSA,33,recurring,0,60.0,108.66666666666667,2,1,0,2,1.2,180.0,0.5520716435953216,0.0,107.48333333333333,-1.1833333333333371,6521,0,0,0
Expected SARSA,33,recurring,1,120.0,112.33333333333333,3,0,0,1,1.4,180.0,0.3748904180607201,0.0,107.83833333333334,-4.49499999999999,6738,0,0,0
Expected SARSA,33,recurring,2,180.0,338.85,2,0,3425,0,-5.152023443353445,120.0,1.0,0.9968650183366852,109.18683333333334,-229.66316666666668,53,12046,0,4807
Expected SARSA,33,recurring,3,240.0,444.43333333333334,2,1,4406,2,-5.5343333333333335,180.0,1.0,1.0,178.08578333333332,-266.34755,0,12177,0,13508
Expected SARSA,33,recurring,4,300.0,204.58333333333334,3,0,0,1,-2.5555182543013006,180.0,0.8574790856857738,0.6592530423835501,257.99004833333333,53.40671499999999,5684,9664,0,1333
Expected SARSA,33,recurring,5,360.0,111.65,3,0,0,1,1.4,180.0,0.36991491204392035,0.0,241.96803383333332,130.31803383333332,6700,0,0,0
Expected SARSA,33,recurring,6,420.0,111.48333333333333,3,1,0,2,1.0,240.0,0.36957574264982956,0.0,202.87262368333333,91.38929035,6689,0,0,0
Expected SARSA,33,recurring,7,480.0,109.6,4,0,0,1,1.2,240.0,0.2774610996856178,0.0,175.4558365783333,65.85583657833331,6574,0,0,0
Expected SARSA,33,recurring,8,540.0,109.96666666666667,4,0,0,1,1.2,240.0,0.2759589367943169,0.0,155.6990856048333,45.73241893816663,6600,0,0,0
