algorithm,seed,trace,step,time_seconds,arrival_rate,active_instances,pending_startup,queue_length,action,reward,instance_seconds,utilization,sla_violation_fraction,forecast_used,forecast_error,timely_completions,late_completions,rejections,timeouts
Expected SARSA,11,ramp,0,60.0,90.68333333333334,2,0,0,1,1.6,120.0,0.45765347543880547,0.0,89.5,-1.1833333333333371,5444,0,0,0
Expected SARSA,11,ramp,1,120.0,90.3,2,0,0,1,1.6,120.0,0.4552266777029799,0.0,89.855,-0.4449999999999932,5417,0,0,0
Expected SARSA,11,ramp,2,180.0,90.06666666666666,2,0,0,1,1.6,120.0,0.4645463936028321,0.0,89.9885,-0.07816666666666094,5406,0,0,0
Expected SARSA,11,ramp,3,240.0,90.76666666666667,2,0,0,1,1.6,120.0,0.4458843328300825,0.0,90.01195,-0.7547166666666669,5446,0,0,0
Expected SARSA,11,ramp,4,300.0,113.15,2,0,0,1,1.6,120.0,0.5670099738920326,0.0,90.238365,-22.911635000000004,6788,0,0,0
Expected SARSA,11,ramp,5,360.0,158.76666666666668,2,0,2,1,1.5996666666666668,120.0,0.7837844005468,0.0,97.11185549999999,-61.65481116666669,9523,0,0,0
Expected SARSA,11,ramp,6,420.0,198.36666666666667,2,0,162,1,-3.7039545222279004,120.0,0.9979048989301476,0.8794924203713167,115.60829884999998,-82.75836781666669,1415,10327,0,0
Expected SARSA,11,ramp,7,480.0,243.43333333333334,2,0,2355,1,-4.7925,120.0,1.0,1.0,140.435809195,-102.99752413833335,0,12048,0,365
Expected SARSA,11,ramp,8,540.0,285.96666666666664,2,0,2908,1,-4.884666666666667,120.0,1.0,1.0,171.33506643649997,-114.63160023016667,0,11876,0,4729
Expected SARSA,11,ramp,9,600.0,332.4166666666667,2,0,3346,1,-4.957666666666667,120.0,1.0,1.0,205.72454650554997,-126.69212016111672,0,12039,0,7468
Expected SARSA,11,ramp,10,660.0,372.6333333333333,2,1,3830,2,-5.4383333333333335,180.0,1.0,1.0,243.73218255388497,-128.90115077944836,0,11953,0,9921
Expected SARSA,11,ramp,11,720.0,424.21666666666664,3,0,4321,1,-5.320166666666666,180.0,1.0,1.0,282.40252778771946,-141.81413887894718,0,18150,0,6811
Expected SARSA,11,ramp,12,780.0,437.8,3,1,4307,2,-5.717833333333333,240.0,1.0,1.0,324.9467694514036,-112.8532305485964,0,18058,0,8224
Expected SARSA,11,ramp,13,840.0,435.1333333333333,4,0,4325,1,-5.520833333333333,240.0,1.0,1.0,358.80273861598255,-76.33059471735078,0,23837,0,2252
Expected SARSA,11,ramp,14,900.0,435.6666666666667,4,0,4283,1,-5.513833333333333,240.0,1.0,1.0,381.70191703118775,-53.96474963547894,0,23932,0,2250
Expected SARSA,11,ramp,15,960.0,433.2,4,0,4348,1,-5.524666666666667,240.0,1.0,1.0,397.8913419218314,-35.308658078168605,0,24499,0,1428
Expected SARSA,11,ramp,16,1020.0,395.46666666666664,4,0,3756,1,-5.426,240.0,1.0,1.0,408.48393934528195,13.017272678615313,0,23876,0,444
Expected SARSA,11,ramp,17,1080.0,358.26666666666665,4,0,1308,1,-5.018,240.0,1.0,1.0,404.5787575416973,46.31209087503066,0,23944,0,0
Expected SARSA,11,ramp,18,1140.0,313.35,4,0,0,1,-0.5352955799731516,240.0,0.8420097022157468,0.28921592999552526,390.6851302791881,77.33513027918809,14296,5817,0,0
Expected SARSA,11,ramp,19,1200.0,272.35,4,0,0,1,1.2,240.0,0.690749476794313,0.0,367.4845911954317,95.13459119543165,16339,0,0,0
Expected SARSA,11,ramp,20,1260.0,230.51666666666668,4,0,0,1,1.2,240.0,0.5800585945532466,0.0,338.94421383680213,108.42754717013545,13831,0,0,0
Expected SARSA,11,ramp,21,1320.0,193.7,4,0,0,1,1.2,240.0,0.4802916429745172,0.0,306.41594968576146,112.71594968576147,11624,0,0,0
Expected SARSA,11,ramp,22,1380.0,151.48333333333332,4,0,0,1,1.2,240.0,0.3740571745334506,0.0,272.601164780033,121.11783144669968,9087,0,0,0
Expected SARSA,11,ramp,23,1440.0,110.65,4,0,0,1,1.2,240.0,0.28404957986666185,0.0,236.2658153460231,125.61581534602308,6640,0,0,0
Expected SARSA,11,recurring,0,60.0,108.66666666666667,2,0,0,1,1.6,120.0,0.5520716435953216,0.0,107.48333333333333,-1.1833333333333371,6521,0,0,0
Expected SARSA,11,recurring,1,120.0,112.33333333333333,2,0,0,1,1.6,120.0,0.5623356270910801,0.0,107.83833333333334,-4.49499999999999,6738,0,0,0
Expected SARSA,11,recurring,2,180.0,338.85,2,0,3425,1,-4.952023443353445,120.0,1.0,0.9968650183366852,109.18683333333334,-229.66316666666668,53,12046,0,4807
Expected SARSA,11,recurring,3,240.0,444.43333333333334,2,1,4406,2,-5.5343333333333335,180.0,1.0,1.0,178.08578333333332,-266.34755,0,12177,0,13508
Expected SARSA,11,recurring,4,300.0,204.58333333333334,3,0,0,1,-2.5555182543013006,180.0,0.8574790856857738,0.6592530423835501,257.99004833333333,53.40671499999999,5684,9664,0,1333
Expected SARSA,11,recurring,5,360.0,111.65,3,0,0,1,1.4,180.0,0.36991491204392035,0.0,241.96803383333332,130.31803383333332,6700,0,0,0
Expected SARSA,11,recurring,6,420.0,111.48333333333333,3,0,0,1,1.4,180.0,0.36957574264982956,0.0,202.87262368333333,91.38929035,6689,0,0,0
Expected SARSA,11,recurring,7,480.0,109.6,2,0,1,0,1.3998333333333335,120.0,0.5548819182438114,0.0,175.4558365783333,65.85583657833331,6574,0,0,0
Expected SARSA,11,recurring,8,540.0,109.96666666666667,2,0,0,1,1.6,120.0,0.5519581547160579,0.0,155.6990856048333,45.73241893816663,6600,0,0,0
Expected SARSA,11,recurring,9,600.0,160.85,2,0,4,1,1.5987113138433893,120.0,0.7968386713753394,0.00010366991499066971,141.9793599233833,-18.870640076616695,9645,1,0,0
Expected SARSA,11,recurring,10,660.0,411.53333333333336,2,0,4003,1,-5.046290041721033,120.0,1.0,0.9965205625090611,147.6405519463683,-263.89278138696505,72,11960,0,8661
Expected SARSA,11,recurring,11,720.0,384.31666666666666,2,1,3793,2,-5.432166666666666,180.0,1.0,1.0,226.8083863624578,-157.50828030420885,0,12068,0,11201
Expected SARSA,11,recurring,12,780.0,135.95,3,0,0,1,-1.7478784835551093,180.0,0.6166339248927316,0.5246464139258515,274.06087045372044,138.11087045372045,5680,5454,0,815
Expected SARSA,11,recurring,13,840.0,110.28333333333333,3,0,0,1,1.4,180.0,0.36495653607029227,0.0,232.62760931760428,122.34427598427095,6618,0,0,0
Expected SARSA,11,recurring,14,900.0,108.96666666666667,3,0,0,1,1.4,180.0,0.3564818620358924,0.0,195.92432652232299,86.95765985565632,6539,0,0,0
Expected SARSA,11,recurring,15,960.0,111.65,2,0,0,0,1.4000000000000001,120.0,0.5655874799597228,0.0,169.83702856562607,58.187028565626065,6700,0,0,0
Expected SARSA,11,recurring,16,1020.0,110.21666666666667,2,0,3,1,1.5995000000000001,120.0,0.5473300091888442,0.0,152.38091999593823,42.16425332927156,6608,0,0,0
Expected SARSA,11,recurring,17,1080.0,241.13333333333333,2,0,2428,1,-4.620327216363586,120.0,0.9994833199250195,0.9692767582828199,139.73164399715677,-101.40168933617656,370,11657,0,16
Expected SARSA,11,recurring,18,1140.0,452.2,2,0,4518,1,-5.1530000000000005,120.0,1.0,1.0,170.1521507980097,-282.0478492019903,0,12002,0,13040
Expected SARSA,11,recurring,19,1200.0,297.5833333333333,2,1,3017,2,-5.302833333333333,180.0,1.0,1.0,254.76650555860678,-42.816827774726534,0,11989,0,7367
Expected SARSA,11,recurring,20,1260.0,110.73333333333333,3,0,0,1,-1.4723998758149643,180.0,0.5343570060325444,0.47873331263582736,267.61155389102476,156.8782205576914,5037,4566,0,60
Expected SARSA,11,recurring,21,1320.0,111.13333333333334,3,0,0,1,1.4,180.0,0.3730712762281491,0.0,220.54808772371732,109.41475439038398,6667,0,0,0
Expected SARSA,11,recurring,22,1380.0,109.6,2,0,0,0,1.4000000000000001,120.0,0.5514717663127555,0.0,187.7236614066021,78.12366140660211,6576,0,0,0
Expected SARSA,11,recurring,23,1440.0,112.03333333333333,2,0,3,1,1.5995000000000001,120.0,0.5697729728518728,0.0,164.28656298462147,52.25322965128814,6718,0,0,0
Expected SARSA,11,burst,0,60.0,116.2,2,0,0,1,1.6,120.0,0.5751711176260378,0.0,113.75,-2.450000000000003,6972,0,0,0
Expected SARSA,11,burst,1,120.0,115.55,2,0,2,1,1.5996666666666668,120.0,0.583989296128353,0.0,114.485,-1.0649999999999977,6930,0,0,0
Expected SARSA,11,burst,2,180.0,114.48333333333333,2,0,0,1,1.6,120.0,0.5766237536640928,0.0,114.80449999999999,0.32116666666665594,6872,0,0,0
Expected SARSA,11,burst,3,240.0,116.3,2,0,0,1,1.6,120.0,0.5808071334089675,0.0,114.70814999999999,-1.591850000000008,6977,0,0,0
Expected SARSA,11,burst,4,300.0,115.53333333333333,2,0,4,1,1.5993333333333335,120.0,0.574791995793189,0.0,115.18570499999998,-0.347628333333347,6928,0,0,0
Expected SARSA,11,burst,5,360.0,115.36666666666666,2,0,0,1,1.6,120.0,0.5762451170247956,0.0,115.28999349999998,-0.07667316666668,6928,0,0,0
Expected SARSA,11,burst,6,420.0,682.1333333333333,2,0,5952,1,-5.384794647452393,120.0,0.9999960959343146,0.9987991079087322,115.31299544999997,-566.8203378833333,42,11917,4412,18603
Expected SARSA,11,burst,7,480.0,678.7333333333333,2,1,5974,2,-5.7956666666666665,180.0,1.0,1.0,285.35909681499993,-393.3742365183334,0,12046,4872,23784
Expected SARSA,11,burst,8,540.0,679.8166666666667,3,0,5995,1,-5.599166666666666,180.0,1.0,1.0,403.37136777049994,-276.4452988961668,0,18190,4850,17727
Expected SARSA,11,burst,9,600.0,680.1666666666666,3,1,5999,2,-5.999833333333333,240.0,1.0,1.0,486.30495743935,-193.86170922731662,0,18121,4869,17816
