algorithm,seed,trace,step,time_seconds,arrival_rate,active_instances,pending_startup,queue_length,action,reward,instance_seconds,utilization,sla_violation_fraction,forecast_used,forecast_error,timely_completions,late_completions,rejections,timeouts
Dyna-Q,22,ramp,0,60.0,90.68333333333334,2,1,0,2,1.2,180.0,0.45765347543880547,0.0,89.5,-1.1833333333333371,5444,0,0,0
Dyna-Q,22,ramp,1,120.0,90.3,3,0,0,1,1.4,180.0,0.30360620505179575,0.0,89.855,-0.4449999999999932,5418,0,0,0
Dyna-Q,22,ramp,2,180.0,90.06666666666666,3,1,0,2,1.0,240.0,0.3095758424854123,0.0,89.9885,-0.07816666666666094,5405,0,0,0
Dyna-Q,22,ramp,3,240.0,90.76666666666667,4,0,0,1,1.2,240.0,0.22294216641504125,0.0,90.01195,-0.7547166666666669,5446,0,0,0
Dyna-Q,22,ramp,4,300.0,113.15,3,0,0,0,1.2,180.0,0.378006649261355,0.0,90.238365,-22.911635000000004,6788,0,0,0
Dyna-Q,22,ramp,5,360.0,158.76666666666668,3,0,0,1,1.4,180.0,0.5225732149765084,0.0,97.11185549999999,-61.65481116666669,9525,0,0,0
Dyna-Q,22,ramp,6,420.0,198.36666666666667,3,0,0,1,1.4,180.0,0.674451843749584,0.0,115.60829884999998,-82.75836781666669,11902,0,0,0
Dyna-Q,22,ramp,7,480.0,243.43333333333334,3,0,7,1,1.3988333333333332,180.0,0.8121140200872683,0.0,140.435809195,-102.99752413833335,14598,0,0,0
Dyna-Q,22,ramp,8,540.0,285.96666666666664,3,0,9,1,1.3834615294940547,180.0,0.954580576777105,0.002506411750990907,171.33506643649997,-114.63160023016667,17113,43,0,0
Dyna-Q,22,ramp,9,600.0,332.4166666666667,3,0,1958,1,-4.84964962584278,180.0,1.0,0.9872193820849078,205.72454650554997,-126.69212016111672,230,17766,0,0
Dyna-Q,22,ramp,10,660.0,372.6333333333333,3,0,3828,1,-5.2379999999999995,180.0,1.0,1.0,243.73218255388497,-128.90115077944836,0,17974,0,2514
