arrivals,timely_completions,late_completions,rejections,timeouts,sla_violation_fraction,rejection_rate,timeout_rate,p95_response_time_ms,algorithm,seed,trace,mean_reward,instance_seconds,drain_instance_seconds,scaling_actions,forecast_mae_rps,forecast_rmse_rps,startup_arrivals,startup_violations,startup_violation_rate,startup_violation_cohort_fraction
375501,62849,184228,0,128424,0.832626277959313,0.0,0.34200707854306645,9999.060478003117,SARSA,44,ramp,-2.687427241631496,3480.0,30.0,3,73.45650110393719,87.24507704105696,19272,13831,0.717673308426733,0.03683345716789037
277185,166199,82064,0,28922,0.4004040622688818,0.0,0.10434186554106463,9996.042059809746,SARSA,44,recurring,-0.4129955820937654,5280.0,40.0,8,108.30680695729284,134.93489701639376,49656,25416,0.5118414693088449,0.09169327344553277
362223,197485,89426,18621,56691,0.45479718295083416,0.051407558327328746,0.15650855964419708,9997.694868857365,SARSA,44,burst,-0.18840576176499035,5880.0,50.0,7,152.92802631687172,212.7385732023927,68308,40724,0.5961819991801839,0.11242797944912389
375501,375501,0,0,0,0.0,0.0,0.0,42.43173506574749,SARSA,55,ramp,1.0499583333333333,6660.0,50.0,3,73.45650110393719,87.24507704105696,20390,0,0.0,0.0
277185,170988,105422,0,775,0.3831267925753558,0.0,0.0027959665927088408,8554.955629085143,SARSA,55,recurring,-0.23491851521288365,6360.0,40.0,8,108.30680695729284,134.93489701639376,90950,73617,0.8094227597581088,0.2655879647167054
362223,197456,114763,17926,32078,0.4548772441286169,0.04948885079081119,0.08855870554879176,9995.929058413298,SARSA,55,burst,-0.2211594015535436,6180.0,40.0,6,152.92802631687172,212.7385732023927,76868,40933,0.5325102773585888,0.11300497207521333
375501,111253,220356,0,43892,0.7037211618610869,0.0,0.11688916940301092,9996.615975655914,Expected SARSA,11,ramp,-1.9480868098139326,4440.0,40.0,2,73.45650110393719,87.24507704105696,48626,48626,1.0,0.12949632624147472
277185,112793,103584,0,60808,0.59307682594657,0.0,0.21937695041217958,9998.313847361806,Expected SARSA,11,recurring,-0.8758010833860853,3540.0,20.0,6,108.30680695729284,134.93489701639376,67580,67580,1.0,0.2438082868842109
362223,107589,130970,19003,104661,0.7029757911562766,0.05246215728984631,0.28894079061793426,9998.9009957187,Expected SARSA,11,burst,-1.1200425602028126,3720.0,20.0,8,152.92802631687172,212.7385732023927,125732,125732,1.0,0.3471121381027709
375501,247035,116695,0,11771,0.34211892911070807,0.0,0.03134745313594371,9988.888569455468,Expected SARSA,22,ramp,-0.23549368930704773,5580.0,20.0,8,73.45650110393719,87.24507704105696,62425,51561,0.8259671605927112,0.13731255043262203
277185,142598,127561,0,7026,0.4855493623392319,0.0,0.025347691974673955,9980.353355763342,Expected SARSA,22,recurring,-0.6119353230838488,5580.0,40.0,14,108.30680695729284,134.93489701639376,99913,57245,0.5729484651646933,0.20652271948337753
362223,110157,197634,17926,36506,0.695886235827101,0.04948885079081119,0.10078321917713674,9996.410817716282,Expected SARSA,22,burst,-1.2833897532107317,5760.0,40.0,14,152.92802631687172,212.7385732023927,119389,84275,0.7058858018745445,0.23266054336693143
375501,140906,183346,0,51249,0.6247519979973423,0.0,0.1364816605015699,9997.203121681861,Expected SARSA,33,ramp,-1.5437569194531602,4800.0,50.0,7,73.45650110393719,87.24507704105696,57328,16384,0.28579402735138154,0.043632373815249495
277185,150306,107231,0,19648,0.45774121976297416,0.0,0.07088406659812038,9992.96346081631,Expected SARSA,33,recurring,-0.3796050561321849,5640.0,40.0,8,108.30680695729284,134.93489701639376,54676,26666,0.4877094154656522,0.09620289698215993
362223,197665,108553,17949,38056,0.45430025150252745,0.04955234758698371,0.10506235109311116,9996.568203994848,Expected SARSA,33,burst,-0.20215799511135993,5940.0,40.0,8,152.92802631687172,212.7385732023927,83900,40789,0.4861620977353993,0.11260742691656797
375501,210980,150911,0,13610,0.4381373152135414,0.0,0.03624491013339512,9989.91364698091,Expected SARSA,44,ramp,-0.9621296638194586,5520.0,40.0,6,73.45650110393719,87.24507704105696,71225,65784,0.9236082836082836,0.17518994623183426
277185,174587,80304,0,22294,0.37014268448869886,0.0,0.08043003770045276,9994.425681212379,Expected SARSA,44,recurring,-0.19152545082328795,5460.0,40.0,8,108.30680695729284,134.93489701639376,71256,51108,0.7172448635904345,0.1843822717679528
362223,197485,89426,18621,56691,0.45479718295083416,0.051407558327328746,0.15650855964419708,9997.694868857365,Expected SARSA,44,burst,-0.18840576176499035,5880.0,50.0,7,152.92802631687172,212.7385732023927,68308,40724,0.5961819991801839,0.11242797944912389
375501,375501,0,0,0,0.0,0.0,0.0,43.61864414829597,Expected SARSA,55,ramp,1.108291666666667,6120.0,30.0,5,73.45650110393719,87.24507704105696,20390,0,0.0,0.0
277185,170988,105422,0,775,0.3831267925753558,0.0,0.0027959665927088408,8554.955629085143,Expected SARSA,55,recurring,-0.20158518187955035,6120.0,40.0,8,108.30680695729284,134.93489701639376,90950,73617,0.8094227597581088,0.2655879647167054
362223,197456,114763,17926,32078,0.4548772441286169,0.04948885079081119,0.08855870554879176,9995.929058413298,Expected SARSA,55,burst,-0.20449273488687691,6060.0,40.0,6,152.92802631687172,212.7385732023927,76868,40933,0.5325102773585888,0.11300497207521333
375501,300080,75421,0,0,0.20085432528808178,0.0,0.0,6412.51730766237,Dyna-Q,11,ramp,0.36156317888767964,6120.0,50.0,3,73.45650110393719,87.24507704105696,43611,26268,0.6023251014652267,0.06995454073357994
277185,138845,123755,0,14585,0.49908905604560133,0.0,0.05261828742536573,9992.685533776748,Dyna-Q,11,recurring,-0.6265202544750937,5340.0,30.0,13,108.30680695729284,134.93489701639376,106524,79689,0.7480849386053847,0.28749391200822555
362223,110111,173317,18621,60174,0.696013229419446,0.051407558327328746,0.16612418316893185,9997.849285848499,Dyna-Q,11,burst,-1.192080582243594,5400.0,30.0,9,152.92802631687172,212.7385732023927,132704,125085,0.9425865083192669,0.34532594561913516
375501,187080,158969,0,29452,0.501785614419136,0.0,0.0784338790043169,9995.144278164662,Dyna-Q,22,ramp,-0.9552351063874545,5580.0,50.0,7,73.45650110393719,87.24507704105696,76776,52100,0.67859747837866,0.13874796605068962
277185,85593,117714,0,73878,0.6912062341035771,0.0,0.2665295741111532,9998.300871555753,Dyna-Q,22,recurring,-2.185162659783833,3780.0,50.0,7,108.30680695729284,134.93489701639376,80731,58810,0.7284686180029976,0.21216876815123473
362223,155655,76627,19142,110799,0.5702785300767759,0.05284589879714982,0.30588615300519295,9998.80404186095,Dyna-Q,22,burst,-1.5526781139375607,4560.0,50.0,7,152.92802631687172,212.7385732023927,117574,81534,0.6934696446493273,0.22509338170132764
375501,162886,170594,0,42021,0.5662168675982221,0.0,0.1119064929254516,9996.423792536807,Dyna-Q,33,ramp,-1.4363988700712678,5280.0,50.0,5,73.45650110393719,87.24507704105696,80184,74766,0.9324304100568692,0.19910998905462302
277185,195266,75200,0,6719,0.29553908039756843,0.0,0.02424012843407832,9977.827961159895,Dyna-Q,33,recurring,-0.011219036448617548,6420.0,50.0,11,108.30680695729284,134.93489701639376,86890,53199,0.6122568765105305,0.19192597002002273
362223,197619,90237,18621,55746,0.4544272450948725,0.051407558327328746,0.15389966954058687,9997.64831757537,Dyna-Q,33,burst,-0.2274529908108888,6000.0,40.0,10,152.92802631687172,212.7385732023927,124015,81534,0.657452727492642,0.22509338170132764
375501,248968,124552,0,1981,0.3369711398904397,0.0,0.0052756184404302514,9954.568120009624,Dyna-Q,44,ramp,-0.30073162817825444,6120.0,40.0,4,73.45650110393719,87.24507704105696,20371,0,0.0,0.0
277185,226145,50265,0,775,0.1841369482475603,0.0,0.0027959665927088408,8554.955629085143,Dyna-Q,44,recurring,0.3441962555278115,6780.0,50.0,5,108.30680695729284,134.93489701639376,45794,24374,0.532253133598288,0.08793405126540037
362223,197665,114554,17926,32078,0.45430025150252745,0.04948885079081119,0.08855870554879176,9995.929058413298,Dyna-Q,44,burst,-0.26042188400024885,6540.0,50.0,5,152.92802631687172,212.7385732023927,61573,40724,0.6613937927338281,0.11242797944912389
375501,375501,0,0,0,0.0,0.0,0.0,43.57286471685029,Dyna-Q,55,ramp,1.0832916666666665,6300.0,30.0,5,73.45650110393719,87.24507704105696,17634,0,0.0,0.0
277185,28518,136912,0,111755,0.8971156447859733,0.0,0.40317838266861483,9999.197139251373,Dyna-Q,55,recurring,-3.623554905495668,1980.0,10.0,5,108.30680695729284,134.93489701639376,51824,51824,1.0,0.18696538412973285
362223,114,144531,19162,198416,0.9996852767494058,0.052901113402517234,0.5477730569290189,9999.609647215744,Dyna-Q,55,burst,-4.597154635746399,1440.0,10.0,1,152.92802631687172,212.7385732023927,0,0,,0.0
375501,184391,175273,0,15837,0.5089467138569538,0.0,0.04217565332715492,9991.418018666041,Predictive Q-Learning,11,ramp,-1.1888704995527604,5220.0,40.0,4,73.45650110393719,87.24507704105696,65624,65624,1.0,0.17476384883129473
277185,136005,108528,0,32652,0.5093349207208182,0.0,0.11779858217436008,9996.585599491198,Predictive Q-Learning,11,recurring,-0.594595232264486,4800.0,40.0,10,108.30680695729284,134.93489701639376,96708,76744,0.7935641311990735,0.27686923895593196
362223,197233,66107,19003,79880,0.4554928869784635,0.05246215728984631,0.22052713383744268,9998.398822943918,Predictive Q-Learning,11,burst,-0.05761773796529398,4860.0,40.0,8,152.92802631687172,212.7385732023927,117276,81534,0.6952317609741123,0.22509338170132764
375501,375501,0,0,0,0.0,0.0,0.0,49.09975880184447,Predictive Q-Learning,22,ramp,1.0832916666666668,6300.0,50.0,5,73.45650110393719,87.24507704105696,44844,0,0.0,0.0
277185,226145,50265,0,775,0.1841369482475603,0.0,0.0027959665927088408,8554.955629085143,Predictive Q-Learning,22,recurring,0.352529588861145,6840.0,50.0,3,108.30680695729284,134.93489701639376,39126,24374,0.6229617134386342,0.08793405126540037
362223,197665,114554,17926,32078,0.45430025150252745,0.04948885079081119,0.08855870554879176,9995.929058413298,Predictive Q-Learning,22,burst,-0.26875521733358215,6600.0,50.0,5,152.92802631687172,212.7385732023927,61487,40724,0.6623188641501455,0.11242797944912389
375501,137447,186805,0,51249,0.6339636911752565,0.0,0.1364816605015699,9997.203121681861,Predictive Q-Learning,33,ramp,-1.5500736205232324,4680.0,30.0,3,73.45650110393719,87.24507704105696,10864,0,0.0,0.0
277185,152801,123609,0,775,0.44874001118386636,0.0,0.0027959665927088408,8554.955629085143,Predictive Q-Learning,33,recurring,-0.41692095209098107,6240.0,40.0,8,108.30680695729284,134.93489701639376,80040,48475,0.6056346826586707,0.17488320075040137
362223,197665,114554,17926,32078,0.45430025150252745,0.04948885079081119,0.08855870554879176,9995.929058413298,Predictive Q-Learning,33,burst,-0.23548438400024882,6300.0,40.0,6,152.92802631687172,212.7385732023927,76804,40724,0.5302328003749804,0.11242797944912389
