algorithm,seeds,arrivals_n,arrivals_mean,arrivals_std,timely_completions_n,timely_completions_mean,timely_completions_std,late_completions_n,late_completions_mean,late_completions_std,rejections_n,rejections_mean,rejections_std,timeouts_n,timeouts_mean,timeouts_std,sla_violation_fraction_n,sla_violation_fraction_mean,sla_violation_fraction_std,rejection_rate_n,rejection_rate_mean,rejection_rate_std,timeout_rate_n,timeout_rate_mean,timeout_rate_std,p95_response_time_ms_n,p95_response_time_ms_mean,p95_response_time_ms_std,mean_reward_n,mean_reward_mean,mean_reward_std,instance_seconds_n,instance_seconds_mean,instance_seconds_std,drain_instance_seconds_n,drain_instance_seconds_mean,drain_instance_seconds_std,scaling_actions_n,scaling_actions_mean,scaling_actions_std,forecast_mae_rps_n,forecast_mae_rps_mean,forecast_mae_rps_std,forecast_rmse_rps_n,forecast_rmse_rps_mean,forecast_rmse_rps_std,startup_arrivals_n,startup_arrivals_mean,startup_arrivals_std,startup_violations_n,startup_violations_mean,startup_violations_std,startup_violation_rate_n,startup_violation_rate_mean,startup_violation_rate_std,startup_violation_cohort_fraction_n,startup_violation_cohort_fraction_mean,startup_violation_cohort_fraction_std,training_seconds_n,training_seconds_mean,training_seconds_std,stabilization_episode_n,stabilization_episode_mean,stabilization_episode_std,q_updates_n,q_updates_mean,q_updates_std,q_nonzero_entries_n,q_nonzero_entries_mean,q_nonzero_entries_std,reward_variance_across_seeds
Q-Learning,5,5,1014909.0,0.0,5,518165.4,131591.85843850675,5,389025.8,95117.96716025843,5,18285.0,499.76944684524284,5,89432.8,50771.40571424037,5,0.48944644298158757,0.1296587757508375,5,0.018016393587996556,0.0004924278401760583,5,0.08811903333205244,0.05002557442513603,5,9994.260206526626,3.578921052535243,5,-0.6334412107635063,0.5022933237375118,5,16152.0,2306.4518204376177,5,106.0,18.16590212458495,5,23.0,7.516648189186454,5,111.56377812603391,0.0,5,153.9229573833552,0.0,5,218600.0,45102.136817450235,5,155089.4,56281.741242609045,5,0.6931561112638822,0.1655805812014815,5,0.15281113873263513,0.05545496319631518,5,0.8505463399998916,0.0877143356953727,0,,,5,480.0,0.0,5,131.2,8.786353054595518,0.25229858307127684
SARSA,5,5,1014909.0,0.0,5,593045.4,158107.63994601904,5,296224.6,85931.7538532759,5,18301.6,485.59118608146093,5,107337.4,79384.25905870761,5,0.4156664292069535,0.15578504077313243,5,0.018032749734212622,0.00047845785787835267,5,0.10576061499109772,0.07821810532639636,5,9994.280185761454,3.9551138465954936,5,-0.3530512167800758,0.6083687273406908,5,16224.0,2649.732061926262,5,118.0,16.431676725154983,5,18.2,3.5637059362410923,5,111.56377812603391,0.0,5,153.9229573833552,0.0,5,164120.0,31933.971253196807,5,91584.8,65313.428027473805,5,0.5289209644777526,0.3186965601538241,5,0.09023942048006275,0.06435397461986622,5,0.8404866599999877,0.1078609862994831,0,,,5,480.0,0.0,5,131.4,7.987490219086343,0.37011250840613186
Expected SARSA,5,5,1014909.0,0.0,5,529459.8,150447.6130608259,5,367351.2,97560.49597403654,5,18285.0,499.76944684524284,5,99813.0,68193.08089535184,5,0.47831795757058015,0.14823753958318026,5,0.018016393587996556,0.0004924278401760583,5,0.09834674832916054,0.06719132542459653,5,9994.413752098775,3.7541216260536405,5,-0.5893410877472441,0.5597001039411484,5,16032.0,2525.137620012026,5,110.0,21.213203435596427,5,23.0,7.713624310270756,5,111.56377812603391,0.0,5,153.9229573833552,0.0,5,223713.2,38401.66045498554,5,158204.8,62577.8686254174,5,0.6939371231726265,0.20896399157534515,5,0.15588077354718502,0.061658600549820135,5,1.1065033599999878,0.047858865687846336,0,,,5,480.0,0.0,5,132.4,10.285912696499032,0.31326420635173235
Dyna-Q,5,5,1014909.0,0.0,5,522009.2,108711.20442576286,5,326529.6,39792.15883562992,5,18694.4,505.02702897963786,5,147675.8,112623.4968676608,5,0.48565910835355686,0.10711423824772749,5,0.018419779507325283,0.0004976081884973315,5,0.14550644442014016,0.11096905916457614,5,9995.315972259315,3.6364842616498274,5,-1.0119706377664481,0.9407411543984145,5,15528.0,3811.6295727680567,5,118.0,40.8656334834051,5,19.4,6.6558245169174945,5,111.56377812603391,0.0,5,153.9229573833552,0.0,5,209241.0,103238.42841452014,5,149981.4,84788.42012798681,5,0.6983813561396349,0.11446025734062824,5,0.14777817518614972,0.08354287933990812,5,1.393656160000137,0.08364832825089501,0,,,5,5280.0,0.0,5,137.0,10.770329614269007,0.8849939195788616
Predictive Q-Learning,5,5,1014909.0,0.0,5,635076.2,152790.4879064793,5,284156.2,115760.40169764444,5,18280.4,503.72542123660986,5,77396.2,43582.78710339668,5,0.37425306111188295,0.15054599762784576,5,0.018011861161936683,0.0004963257013551072,5,0.0762592508293847,0.04294255652811896,5,9993.081491066285,4.213119476951947,5,-0.1971785162120489,0.54270561715584,5,17304.0,2244.032085332115,5,126.0,15.165750888103101,5,17.8,4.54972526643093,5,111.56377812603391,0.0,5,153.9229573833552,0.0,5,192669.0,51577.73059179707,5,116621.2,67225.29213547532,5,0.5742272344433472,0.18292682853003284,5,0.11490803608993513,0.06623775346900591,5,1.2148477400000046,0.17991540890308577,0,,,5,480.0,0.0,5,164.0,10.04987562112089,0.2945293868925012
Threshold baseline,5,5,1014909.0,0.0,5,610432.0,0.0,5,268514.0,0.0,5,19003.0,0.0,5,116960.0,0.0,5,0.39853523813465047,0.0,5,0.018723846177342008,0.0,5,0.11524185912234494,1.5515838457795457e-17,5,9996.236859485507,0.0,5,-0.25179142099329177,0.0,5,15540.0,0.0,5,120.0,0.0,5,18.0,0.0,5,111.56377812603391,0.0,5,153.9229573833552,0.0,5,267350.0,0.0,5,212363.0,0.0,5,0.7943257901627081,0.0,5,0.20924339029410519,0.0,5,0.0,0.0,0,,,5,0.0,0.0,5,0.0,0.0,0.0
