seed,mean_reward,instance_seconds,sla_violation_fraction,startup_violation_cohort_fraction,scaling_actions
11,0.36655411816237915,2520.0,-0.1095822384075813,0.015779739858450353,4
22,1.0992949345986192,2820.0,-0.295121040408549,-0.12610293139581974,-23
33,-0.005126934669273275,-180.0,0.0034505556655818337,0.011661144004043722,-2
44,0.5775530977519967,-480.0,-0.12036744181005393,-0.04233384470923007,-9
55,0.1430382569135651,1080.0,-0.05434674438792053,-0.0485196209709442,4
