algorithm,seed,episode,mean_reward,epsilon
SARSA,44,5,0.6076221894695791,0.7048302872062664
SARSA,44,6,0.05583828395636211,0.6453002610966058
SARSA,44,7,-1.4172264520443827,0.5857702349869451
SARSA,44,8,1.0592719235762438,0.5262402088772846
SARSA,44,9,-1.210880001990431,0.466710182767624
SARSA,44,10,0.2583671283825358,0.4071801566579635
SARSA,44,11,-0.7348235867334799,0.34765013054830296
SARSA,44,12,-0.6168384844171969,0.28812010443864233
SARSA,44,13,-2.480488389483548,0.22859007832898182
SARSA,44,14,-1.3717368022837075,0.1690600522193212
SARSA,44,15,-1.0044236858758249,0.10953002610966056
SARSA,44,16,-0.412814895714708,0.050000000000000044
SARSA,44,17,1.3166527777777777,0.050000000000000044
SARSA,44,18,-1.3530196390258311,0.050000000000000044
SARSA,44,19,0.8151800805738524,0.050000000000000044
SARSA,44,20,0.11704931879591769,0.050000000000000044
SARSA,55,1,1.1416180555555557,0.9429503916449086
SARSA,55,2,0.15474126705950084,0.883420365535248
SARSA,55,3,-0.32217716289846215,0.8238903394255874
SARSA,55,4,1.0662653147737082,0.7643603133159269
SARSA,55,5,-1.144588139174078,0.7048302872062664
SARSA,55,6,-3.2680738512392993,0.6453002610966058
SARSA,55,7,-1.8376709716588193,0.5857702349869451
SARSA,55,8,1.1121601807656847,0.5262402088772846
SARSA,55,9,-1.3681875848536826,0.466710182767624
SARSA,55,10,1.1581805555555555,0.4071801566579635
SARSA,55,11,1.1833333333333333,0.34765013054830296
SARSA,55,12,0.32937562170966606,0.28812010443864233
SARSA,55,13,0.47927574690876745,0.22859007832898182
SARSA,55,14,-0.13313475728729318,0.1690600522193212
SARSA,55,15,-0.7187306585516057,0.10953002610966056
SARSA,55,16,-0.9316734515364741,0.050000000000000044
SARSA,55,17,-0.8704055513534882,0.050000000000000044
SARSA,55,18,-0.23473472127201275,0.050000000000000044
SARSA,55,19,-0.9792684975680768,0.050000000000000044
SARSA,55,20,1.2772974331819373,0.050000000000000044
Expected SARSA,11,1,-0.31855363671818654,0.9429503916449086
Expected SARSA,11,2,-2.8954085899776936,0.883420365535248
Expected SARSA,11,3,-1.2354751974169529,0.8238903394255874
Expected SARSA,11,4,-1.369891965600715,0.7643603133159269
Expected SARSA,11,5,-0.7338211958701368,0.7048302872062664
Expected SARSA,11,6,-2.1655698150333245,0.6453002610966058
Expected SARSA,11,7,0.8748659532876958,0.5857702349869451
Expected SARSA,11,8,0.4379470911920141,0.5262402088772846
Expected SARSA,11,9,1.0769965301627638,0.466710182767624
Expected SARSA,11,10,-2.623881694403123,0.4071801566579635
Expected SARSA,11,11,1.364393178826665,0.34765013054830296
Expected SARSA,11,12,-0.5221637595808811,0.28812010443864233
Expected SARSA,11,13,-1.492191397862458,0.22859007832898182
Expected SARSA,11,14,-0.7745873738041933,0.1690600522193212
Expected SARSA,11,15,0.6606066322459475,0.10953002610966056
